номер_листа;обозначение_линии;длина_мм;длина_м;формула;статус;замечания
1;SW_1002;5563;5,563;1383 + 600 + 2160 + 900 + 320 + 200 = 5563 мм;ok;
2;P15_1039;21192;21,192;730 + 174 + 352 + 1406 + 1900 + 150 + 1788 + 4072 + 3626 + 5644 + 1350 = 21192 мм;review;"D14 и D15 у арматуры, в сумму не брал; глянуть: D14=293, D15=224"
3;P15_1037;4529;4,529;950 + 500 + 1250 + 198 + 224 + 228 + 200 + 168 + 146 + 178 + 13 + 210 + 264 = 4529 мм;ok;
4;SW_1003;2040;2,040;250 + 214 + 214 + 504 + 188 + 171 + 154 + 190 + 155 = 2040 мм;ok;
5;LC_1034;8508;8,508;285 + 651 + 850 + 238 + 450 + 2000 + 2400 + 34 + 1600 = 8508 мм;ok;
6;LC_1042;11626;11,626;285 + 651 + 850 + 238 + 2463 + 2000 + 34 + 1600 + 3505 = 11626 мм;ok;
7;LC_1040;4306;4,306;60 + 1950 + 34 + 650 + 840 + 522 + 250 = 4306 мм;ok;
8;SW_1001;44950;44,950;1850 + 6000 + 5000 + 5200 + 3800 + 1000 + 4100 + 6000 + 6000 + 6000 = 44950 мм;ok;в сумму куски, не габариты 23525 и 24100
9;SW_1009;370;0,370;195 + 175 = 370 мм;review;"штурвал и короба изоляции в сумму не брал; глянуть: D2=123, D3=244, D4=123"
10;SW_1012;9332;9,332;154 + 341 + 220 + 4116 + 188 + 134 + 550 + 2450 + 341 + 149 + 220 + 135 + 134 + 200 = 9332 мм;review;глянуть: D2=244, D11=244
